group,case_code,case_name,rank,kind,name,code,database,compartment,unit,search_words,starting_amount,amount_kind,source
S1-report-transcription,8f5fe6ba-5a3e-4ee7-aa65-77ff99e0cd30,"Disposal, plastic plaster, 0% water, to sanitary landfill",1,elementary-flow,Cobalt,fe0acd60-3ddc-11dd-a4ee-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to water,kilogram,cobalt,1.53e-07,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,8f5fe6ba-5a3e-4ee7-aa65-77ff99e0cd30,"Disposal, plastic plaster, 0% water, to sanitary landfill",2,elementary-flow,Carbon Dioxide (fossil),08a91e70-3ddc-11dd-9c13-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,carbon;dioxide,0.000641,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,8f5fe6ba-5a3e-4ee7-aa65-77ff99e0cd30,"Disposal, plastic plaster, 0% water, to sanitary landfill",3,elementary-flow,Chloride,08a91e70-3ddc-11dd-9508-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to water,kilogram,chloride,0.000238,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,8f5fe6ba-5a3e-4ee7-aa65-77ff99e0cd30,"Disposal, plastic plaster, 0% water, to sanitary landfill",4,elementary-flow,Cadmium,fe0acd60-3ddc-11dd-a28f-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,cadmium,1.48e-10,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,8f5fe6ba-5a3e-4ee7-aa65-77ff99e0cd30,"Disposal, plastic plaster, 0% water, to sanitary landfill",5,elementary-flow,Tin atom,08a91e70-3ddc-11dd-998e-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,tin;atom,1.98e-12,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,8f5fe6ba-5a3e-4ee7-aa65-77ff99e0cd30,"Disposal, plastic plaster, 0% water, to sanitary landfill",6,elementary-flow,Methane (fossil),fe0acd60-3ddc-11dd-a8e5-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,methane,4.19e-08,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,8f5fe6ba-5a3e-4ee7-aa65-77ff99e0cd30,"Disposal, plastic plaster, 0% water, to sanitary landfill",7,elementary-flow,Tin atom,08a91e70-3ddc-11dd-998d-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,tin;atom,6.1e-12,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,8f5fe6ba-5a3e-4ee7-aa65-77ff99e0cd30,"Disposal, plastic plaster, 0% water, to sanitary landfill",8,elementary-flow,Particles (PM2.5),08a91e70-3ddc-11dd-9296-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,particles;pm2,1.22e-08,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,8f5fe6ba-5a3e-4ee7-aa65-77ff99e0cd30,"Disposal, plastic plaster, 0% water, to sanitary landfill",9,elementary-flow,tin,08a91e70-3ddc-11dd-9990-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to water,kilogram,tin,0.000134,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,8f5fe6ba-5a3e-4ee7-aa65-77ff99e0cd30,"Disposal, plastic plaster, 0% water, to sanitary landfill",10,elementary-flow,Non-methane Volatile Organic Compounds,08a91e70-3ddc-11dd-a304-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,non;methane;volatile;organic;compounds,1.9e-10,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,8f5fe6ba-5a3e-4ee7-aa65-77ff99e0cd30,"Disposal, plastic plaster, 0% water, to sanitary landfill",11,elementary-flow,Molybdenum,19b259f2-12a6-4992-9208-9708ee0fbb80,ef-3.1-biosphere,Emissions / Emissions to water,kilogram,molybdenum,1.26e-08,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
